Percentage served,Time in ms
0,0.111
1,0.113
2,0.113
3,0.113
4,0.114
5,0.114
6,0.114
7,0.115
8,0.115
9,0.115
10,0.116
11,0.117
12,0.118
13,0.118
14,0.118
15,0.118
16,0.118
17,0.118
18,0.118
19,0.118
20,0.119
21,0.119
22,0.119
23,0.119
24,0.119
25,0.119
26,0.119
27,0.119
28,0.119
29,0.119
30,0.119
31,0.119
32,0.119
33,0.119
34,0.119
35,0.119
36,0.120
37,0.120
38,0.120
39,0.120
40,0.120
41,0.120
42,0.120
43,0.120
44,0.120
45,0.120
46,0.120
47,0.120
48,0.120
49,0.120
50,0.121
51,0.121
52,0.121
53,0.121
54,0.121
55,0.121
56,0.121
57,0.121
58,0.121
59,0.122
60,0.122
61,0.122
62,0.122
63,0.122
64,0.123
65,0.123
66,0.123
67,0.123
68,0.124
69,0.124
70,0.124
71,0.125
72,0.126
73,0.126
74,0.127
75,0.127
76,0.127
77,0.128
78,0.129
79,0.130
80,0.132
81,0.134
82,0.136
83,0.139
84,0.143
85,0.147
86,0.150
87,0.153
88,0.156
89,0.158
90,0.161
91,0.164
92,0.168
93,0.174
94,0.184
95,0.192
96,0.206
97,0.225
98,0.261
99,0.340
