Percentage served,Time in ms
0,0.061
1,0.063
2,0.063
3,0.064
4,0.064
5,0.064
6,0.064
7,0.064
8,0.064
9,0.064
10,0.064
11,0.064
12,0.064
13,0.064
14,0.064
15,0.064
16,0.064
17,0.064
18,0.064
19,0.064
20,0.064
21,0.064
22,0.064
23,0.064
24,0.064
25,0.064
26,0.064
27,0.065
28,0.065
29,0.065
30,0.065
31,0.065
32,0.065
33,0.065
34,0.065
35,0.065
36,0.065
37,0.065
38,0.065
39,0.065
40,0.065
41,0.065
42,0.065
43,0.065
44,0.065
45,0.065
46,0.065
47,0.065
48,0.065
49,0.065
50,0.065
51,0.065
52,0.065
53,0.065
54,0.065
55,0.065
56,0.065
57,0.065
58,0.066
59,0.066
60,0.066
61,0.066
62,0.066
63,0.066
64,0.066
65,0.066
66,0.066
67,0.066
68,0.066
69,0.066
70,0.067
71,0.067
72,0.067
73,0.067
74,0.068
75,0.068
76,0.068
77,0.068
78,0.068
79,0.069
80,0.069
81,0.069
82,0.069
83,0.069
84,0.069
85,0.070
86,0.070
87,0.071
88,0.076
89,0.088
90,0.095
91,0.096
92,0.097
93,0.099
94,0.101
95,0.108
96,0.125
97,0.149
98,0.185
99,0.318
